Review,Sentiment
Stale pathetic crispy fried chicken ... should be given negative rating,"{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.8126}"
Completely cold burger as if it was made 3-4 hours back. Pathetic.,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.5719}"
Fries not good because there is no fresh one and quantity also small but I have got large one ,"{'neg': 0.166, 'neu': 0.752, 'pos': 0.083, 'compound': -0.1663}"
no cooked properly. no taste. waste of money ,"{'neg': 0.59, 'neu': 0.41, 'pos': 0.0, 'compound': -0.7351}"
Worst experience first time at mcd,"{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}"
The crispy chicken was so dry.. trying to make it crispy team McD managed to make the worst fried chicken ever,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.6249}"
I ordered two sets of regular fries combo worth rs 112 each and I paid the whole amount of 243 but I only received one set of fries and even there was no packet of ketchup inside the package. You can refer the attached photo here and you can have a look at the bill also. I want refund for half of my order which is 112 rs. Refund it asap. This is really frustrating.,"{'neg': 0.093, 'neu': 0.869, 'pos': 0.038, 'compound': -0.7343}"
Stale food,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"burger is very dry, very less mayonnaise","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
please improve quality and that' nuggets ra to Salt and to cold <br/>,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.6369}"
horrible ,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}"
No ketchup sent with the order,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}"
food was very cold and did not follow my instructions ever since i am ordering it from zomato,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Burger is cold also french fires,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Stale and cold chicken patty,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
no tissue nothing ,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.296}"
by mistake we ordered in sec I am trying to cancel the order it is not possible this is the scam of Zomato 😡. if we try to call no one is picking the call I am not happy I am uninstalling the app. the food is not hot,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.9062}"
I received only one coffee what is the use my entire order is a waste of. I wish there was a 0 to rate,"{'neg': 0.124, 'neu': 0.756, 'pos': 0.12, 'compound': -0.0258}"
"The burgers were cold as ice with no sauce and disintegrated toppings. Fries were even worse, they weren't fresh. Not at all the McDonald's standard I remember. ","{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.7401}"
good food,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}"
"worst quality 😔 disappointed, It is not hot and taste is not good","{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.8627}"
Not even single tissue paper or ketchup packet in bag... I didn't expected this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
