Author,Review URL,Description,Rating
Shv,https://www.zoma.to/YlGxEpk,Stale pathetic crispy fried chicken ... should be given negative rating,1
Sakshi Raj,https://www.zoma.to/rRpEoPP,Completely cold burger as if it was made 3-4 hours back. Pathetic.,1
Jayashree,https://www.zoma.to/dEnRevB,Fries not good because there is no fresh one and quantity also small but I have got large one ,2
Kathir Vel,https://www.zoma.to/NYOlXMk,no cooked properly. no taste. waste of money ,1
Shyamala Shiva,https://www.zoma.to/NYOvQee,Worst experience first time at mcd,1
Fatima Misba,https://www.zoma.to/QkMEaAg,The crispy chicken was so dry.. trying to make it crispy team McD managed to make the worst fried chicken ever,2
Shabnam,https://www.zoma.to/kOwBlpN,,3
Ayesha Naaz,https://www.zoma.to/nGMODov,I ordered two sets of regular fries combo worth rs 112 each and I paid the whole amount of 243 but I only received one set of fries and even there was no packet of ketchup inside the package. You can refer the attached photo here and you can have a look at the bill also. I want refund for half of my order which is 112 rs. Refund it asap. This is really frustrating.,1
Gouri Guggari,https://www.zoma.to/xZByOdd,Stale food,1
Aishwarya,https://www.zoma.to/GkbLDew,"burger is very dry, very less mayonnaise",2
Teja Adapa,https://www.zoma.to/qyoeRmQ,please improve quality and that' nuggets ra to Salt and to cold <br/>,1
Arunrajan,https://www.zoma.to/zZoNYEQ,horrible ,1
Dheemant,https://www.zoma.to/dEYLxGq,,1
Anurag Garg,https://www.zoma.to/MkOkbbl,No ketchup sent with the order,2
Shivani Anant Rai,https://www.zoma.to/aPLGvmQ,food was very cold and did not follow my instructions ever since i am ordering it from zomato,2
Rishu Chandra,https://www.zoma.to/NYrNlrP,Burger is cold also french fires,1
Shravani Nitnaware,https://www.zoma.to/kOoRRqn,Stale and cold chicken patty,1
Mahesh N Mahesh,https://www.zoma.to/lMmaxbm,no tissue nothing ,1
Hithesh B G,https://www.zoma.to/AOyQvXZ,by mistake we ordered in sec I am trying to cancel the order it is not possible this is the scam of Zomato 😡. if we try to call no one is picking the call I am not happy I am uninstalling the app. the food is not hot,1
Saswati.bhattacharya09,https://www.zoma.to/YlMMveN,I received only one coffee what is the use my entire order is a waste of. I wish there was a 0 to rate,1
Aanchal Rustagi,https://www.zoma.to/kOndmqY,"The burgers were cold as ice with no sauce and disintegrated toppings. Fries were even worse, they weren't fresh. Not at all the McDonald's standard I remember. ",1
Chandu Gn,https://www.zoma.to/yqLAYng,good food,5
Jyothi,https://www.zoma.to/BvqkzZk,,5
Deekshitha Gopal,https://www.zoma.to/NYLEPyd,"worst quality 😔 disappointed, It is not hot and taste is not good",1
Subhash Bhandarkar,https://www.zoma.to/pdpXQDY,Not even single tissue paper or ketchup packet in bag... I didn't expected this,1
